id,closeness_centrality,betweenness_centrality,dispersion_centrality
0,0.353342667133,1183133.60618,4747.0
1,0.261376140851,22.6856431723,20.0
2,0.261257763975,0.619047619048,0.0
3,0.261376140851,13.734469697,16.0
4,0.261257763975,1.5,0.0
5,0.26130848379,17.9801587302,25.0
6,0.261190168176,0.2,0.0
7,0.274768644529,1381.698465,2.0
8,0.261223961703,2.25,0.0
9,0.26205464339,132.552562153,16.0
10,0.261257763975,0.40645433027,0.0
11,0.261105722599,0.0,0.0
12,0.261105722599,0.0,0.0
13,0.261613216715,14.3637537035,0.0
14,0.261342307941,4.55043290043,0.0
15,0.261105722599,0.0,0.0
16,0.261240861745,1.62846638655,0.0
17,0.26130848379,3.34722222222,0.0
18,0.261105722599,0.0,0.0
19,0.261359223301,41.2666666667,79.0
20,0.261342307941,5.53733766234,0.0
21,0.275612586172,7398.57941508,201.0
22,0.261274668392,5.46341801473,2.0
23,0.261376140851,55.9166666667,110.0
24,0.261359223301,1.11448412698,0.0
25,0.2622588816,435.366421895,483.0
26,0.262241849591,156.248428671,9.0
27,0.261173274691,0.25,0.0
28,0.26130848379,3.10717893218,0.0
29,0.26130848379,11.3741576545,13.0
30,0.261376140851,11.1620840709,1.0
31,0.261477692158,40.204493857,35.0
32,0.261190168176,0.0,0.0
33,0.261122607346,0.0,0.0
34,0.303312551641,29161.0015729,0.0
35,0.261122607346,0.0,0.0
36,0.261274668392,0.222222222222,0.0
37,0.261105722599,0.0,0.0
38,0.261240861745,5.98626847291,4.0
39,0.261342307941,7.78280685603,0.0
40,0.261833744002,112.447584118,96.0
41,0.261494625049,38.0904761905,16.0
42,0.261122607346,0.0,0.0
43,0.261105722599,0.0,0.0
44,0.261190168176,0.0,0.0
45,0.261291574997,2.38172105672,0.0
46,0.261173274691,0.0,0.0
47,0.261122607346,0.0,0.0
48,0.261460761461,43.1241764613,28.0
49,0.261156383392,1.5,3.0
50,0.261274668392,4.18576740447,1.0
51,0.261207063846,0.75,0.0
52,0.261122607346,0.0,0.0
53,0.261613216715,88.428879103,92.0
54,0.261223961703,2.94404761905,1.0
55,0.261376140851,1.41821812936,0.0
56,0.275857357563,8757.91374738,89.0
57,0.261342307941,12.5186868687,7.0
58,0.397401830528,680828.663077,18.0
59,0.261409982521,5.4951538481,0.0
60,0.261223961703,0.615063591379,0.0
61,0.261139494277,0.5,1.0
62,0.261528497409,22.8523337463,7.0
63,0.261190168176,0.0,0.0
64,0.279040840301,103.867024642,0.0
65,0.261291574997,5.61903263248,3.0
66,0.261342307941,0.777760579717,0.0
67,0.275819672131,7352.52882681,64.0
68,0.261240861745,1.2,0.0
69,0.261257763975,1.61717511247,0.0
70,0.261122607346,0.0,0.0
71,0.261139494277,0.0,0.0
72,0.261494625049,14.7732356916,3.0
73,0.261257763975,4.904004329,2.0
74,0.261105722599,0.0,0.0
75,0.261325394771,2.0776923314,0.0
76,0.261139494277,0.0,0.0
77,0.261190168176,2.08333333333,2.0
78,0.261240861745,0.0,0.0
79,0.261291574997,0.170110630111,0.0
80,0.267914012739,1296.80691212,20.0
81,0.261139494277,0.5,1.0
82,0.26166407465,59.9828847575,21.0
83,0.261207063846,0.75,0.0
84,0.26130848379,11.3535491469,9.0
85,0.261325394771,4.10194522826,0.0
86,0.261190168176,0.0,0.0
87,0.274637829014,375.302827733,0.0
88,0.261426906642,35.513015873,29.0
89,0.261223961703,2.7,0.0
90,0.261122607346,0.0,0.0
91,0.261223961703,2.25,0.0
92,0.261443832956,5.57752525253,0.0
93,0.261223961703,0.766666666667,0.0
94,0.261460761461,17.4268849206,11.0
95,0.261190168176,0.5,0.0
96,0.261240861745,6.38687978688,8.0
97,0.261139494277,0.333333333333,0.0
98,0.261918661218,54.3062807705,7.0
99,0.26130848379,6.65238095238,0.0
100,0.261240861745,4.33333333333,0.0
101,0.261409982521,6.43134920635,2.0
